context_input,accelerate,boost,dash,stay,turn_left_111,turn_left_15,turn_left_20,turn_left_22,turn_left_23,turn_left_24,turn_left_26,turn_left_27,turn_left_28,turn_left_29,turn_left_30,turn_left_31,turn_left_32,turn_left_33,turn_left_34,turn_left_36,turn_left_37,turn_left_38,turn_left_40,turn_left_41,turn_left_42,turn_left_43,turn_left_44,turn_left_45,turn_left_46,turn_left_47,turn_left_48,turn_left_50,turn_left_51,turn_left_52,turn_left_54,turn_left_56,turn_left_57,turn_left_58,turn_left_59,turn_left_60,turn_left_62,turn_left_64,turn_left_65,turn_left_67,turn_left_69,turn_left_70,turn_left_71,turn_left_72,turn_left_73,turn_left_75,turn_left_76,turn_left_77,turn_left_82,turn_left_84,turn_left_86,turn_left_87,turn_left_90,turn_right_131,turn_right_15,turn_right_37,turn_right_45,turn_right_56,turn_right_90
"Enemy is 1.69 meters ahead, angle -124.8 degrees, edge distance 4.83, center distance 1.12, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False [CTX] Enemy is 0.62 meters ahead, angle 42.3 degrees, edge distance 3.17, center distance 0.7, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False [CTX] Enemy is 0.8 meters ahead, angle 159.0 degrees, edge distance 3.3, center distance 0.48, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Enemy is 0.62 meters ahead, angle 42.3 degrees, edge distance 3.17, center distance 0.7, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False [CTX] Enemy is 0.8 meters ahead, angle 159.0 degrees, edge distance 3.3, center distance 0.48, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False [CTX] Enemy is 0.99 meters ahead, angle 160.4 degrees, edge distance 3.79, center distance 1.38, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enemy is 0.8 meters ahead, angle 159.0 degrees, edge distance 3.3, center distance 0.48, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False [CTX] Enemy is 0.99 meters ahead, angle 160.4 degrees, edge distance 3.79, center distance 1.38, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True [CTX] Enemy is 1.85 meters ahead, angle -135.4 degrees, edge distance 0.71, center distance 1.23, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enemy is 0.99 meters ahead, angle 160.4 degrees, edge distance 3.79, center distance 1.38, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True [CTX] Enemy is 1.85 meters ahead, angle -135.4 degrees, edge distance 0.71, center distance 1.23, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False [CTX] Enemy is 2.0 meters ahead, angle 107.3 degrees, edge distance 2.87, center distance 3.09, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: True",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enemy is 1.85 meters ahead, angle -135.4 degrees, edge distance 0.71, center distance 1.23, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False [CTX] Enemy is 2.0 meters ahead, angle 107.3 degrees, edge distance 2.87, center distance 3.09, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: True [CTX] Enemy is 0.69 meters ahead, angle 67.8 degrees, edge distance 4.33, center distance 4.45, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Enemy is 2.0 meters ahead, angle 107.3 degrees, edge distance 2.87, center distance 3.09, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: True [CTX] Enemy is 0.69 meters ahead, angle 67.8 degrees, edge distance 4.33, center distance 4.45, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True [CTX] Enemy is 0.31 meters ahead, angle -25.8 degrees, edge distance 1.11, center distance 1.01, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enemy is 0.69 meters ahead, angle 67.8 degrees, edge distance 4.33, center distance 4.45, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True [CTX] Enemy is 0.31 meters ahead, angle -25.8 degrees, edge distance 1.11, center distance 1.01, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True [CTX] Enemy is 2.19 meters ahead, angle 74.1 degrees, edge distance 3.74, center distance 2.55, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enemy is 0.31 meters ahead, angle -25.8 degrees, edge distance 1.11, center distance 1.01, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True [CTX] Enemy is 2.19 meters ahead, angle 74.1 degrees, edge distance 3.74, center distance 2.55, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False [CTX] Enemy is 2.45 meters ahead, angle -19.1 degrees, edge distance 3.55, center distance 2.88, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Enemy is 2.19 meters ahead, angle 74.1 degrees, edge distance 3.74, center distance 2.55, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False [CTX] Enemy is 2.45 meters ahead, angle -19.1 degrees, edge distance 3.55, center distance 2.88, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True [CTX] Enemy is 1.89 meters ahead, angle -119.1 degrees, edge distance 0.21, center distance 0.06, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Enemy is 2.45 meters ahead, angle -19.1 degrees, edge distance 3.55, center distance 2.88, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True [CTX] Enemy is 1.89 meters ahead, angle -119.1 degrees, edge distance 0.21, center distance 0.06, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False [CTX] Enemy is 1.76 meters ahead, angle -83.5 degrees, edge distance 1.33, center distance 0.28, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Enemy is 1.89 meters ahead, angle -119.1 degrees, edge distance 0.21, center distance 0.06, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False [CTX] Enemy is 1.76 meters ahead, angle -83.5 degrees, edge distance 1.33, center distance 0.28, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True [CTX] Enemy is 2.48 meters ahead, angle -115.9 degrees, edge distance 1.88, center distance 3.98, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enemy is 1.76 meters ahead, angle -83.5 degrees, edge distance 1.33, center distance 0.28, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True [CTX] Enemy is 2.48 meters ahead, angle -115.9 degrees, edge distance 1.88, center distance 3.98, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True [CTX] Enemy is 0.92 meters ahead, angle 165.1 degrees, edge distance 3.45, center distance 1.67, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Enemy is 2.48 meters ahead, angle -115.9 degrees, edge distance 1.88, center distance 3.98, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True [CTX] Enemy is 0.92 meters ahead, angle 165.1 degrees, edge distance 3.45, center distance 1.67, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True [CTX] Enemy is 1.67 meters ahead, angle 52.4 degrees, edge distance 3.15, center distance 4.18, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Enemy is 0.92 meters ahead, angle 165.1 degrees, edge distance 3.45, center distance 1.67, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True [CTX] Enemy is 1.67 meters ahead, angle 52.4 degrees, edge distance 3.15, center distance 4.18, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False [CTX] Enemy is 2.23 meters ahead, angle 146.7 degrees, edge distance 3.68, center distance 1.36, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Enemy is 1.67 meters ahead, angle 52.4 degrees, edge distance 3.15, center distance 4.18, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False [CTX] Enemy is 2.23 meters ahead, angle 146.7 degrees, edge distance 3.68, center distance 1.36, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False [CTX] Enemy is 1.53 meters ahead, angle -131.3 degrees, edge distance 1.71, center distance 4.11, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Enemy is 2.23 meters ahead, angle 146.7 degrees, edge distance 3.68, center distance 1.36, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False [CTX] Enemy is 1.53 meters ahead, angle -131.3 degrees, edge distance 1.71, center distance 4.11, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True [CTX] Enemy is 2.39 meters ahead, angle 53.4 degrees, edge distance 4.63, center distance 2.44, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Enemy is 1.53 meters ahead, angle -131.3 degrees, edge distance 1.71, center distance 4.11, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True [CTX] Enemy is 2.39 meters ahead, angle 53.4 degrees, edge distance 4.63, center distance 2.44, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True [CTX] Enemy is 1.43 meters ahead, angle -25.6 degrees, edge distance 0.45, center distance 1.19, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enemy is 2.39 meters ahead, angle 53.4 degrees, edge distance 4.63, center distance 2.44, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True [CTX] Enemy is 1.43 meters ahead, angle -25.6 degrees, edge distance 0.45, center distance 1.19, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False [CTX] Enemy is 1.13 meters ahead, angle -6.2 degrees, edge distance 0.86, center distance 2.55, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enemy is 1.43 meters ahead, angle -25.6 degrees, edge distance 0.45, center distance 1.19, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False [CTX] Enemy is 1.13 meters ahead, angle -6.2 degrees, edge distance 0.86, center distance 2.55, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True [CTX] Enemy is 1.31 meters ahead, angle -175.5 degrees, edge distance 3.89, center distance 0.78, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enemy is 1.13 meters ahead, angle -6.2 degrees, edge distance 0.86, center distance 2.55, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True [CTX] Enemy is 1.31 meters ahead, angle -175.5 degrees, edge distance 3.89, center distance 0.78, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False [CTX] Enemy is 0.22 meters ahead, angle -140.2 degrees, edge distance 1.15, center distance 0.51, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enemy is 1.31 meters ahead, angle -175.5 degrees, edge distance 3.89, center distance 0.78, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False [CTX] Enemy is 0.22 meters ahead, angle -140.2 degrees, edge distance 1.15, center distance 0.51, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False [CTX] Enemy is 0.84 meters ahead, angle -114.2 degrees, edge distance 0.75, center distance 4.5, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Enemy is 0.22 meters ahead, angle -140.2 degrees, edge distance 1.15, center distance 0.51, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False [CTX] Enemy is 0.84 meters ahead, angle -114.2 degrees, edge distance 0.75, center distance 4.5, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True [CTX] Enemy is 2.11 meters ahead, angle -91.3 degrees, edge distance 1.75, center distance 4.79, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Enemy is 0.84 meters ahead, angle -114.2 degrees, edge distance 0.75, center distance 4.5, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True [CTX] Enemy is 2.11 meters ahead, angle -91.3 degrees, edge distance 1.75, center distance 4.79, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False [CTX] Enemy is 0.93 meters ahead, angle 16.3 degrees, edge distance 2.5, center distance 0.12, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Enemy is 2.11 meters ahead, angle -91.3 degrees, edge distance 1.75, center distance 4.79, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False [CTX] Enemy is 0.93 meters ahead, angle 16.3 degrees, edge distance 2.5, center distance 0.12, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True [CTX] Enemy is 1.37 meters ahead, angle 24.8 degrees, edge distance 2.5, center distance 0.42, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
