enemy_distance,enemy_angle,edge_distance,center_distance,enemy_stuck,enemy_behind,skill_ready,dash_ready,situation,category,round,strategy
2.39,53.4,4.63,2.44,0,0,0,1,"Enemy is 2.39 meters ahead, angle 53.4 degrees, edge distance 4.63, center distance 2.44, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True",tournament,1,turn_right_15+accelerate
1.43,-25.6,0.45,1.19,1,0,1,0,"Enemy is 1.43 meters ahead, angle -25.6 degrees, edge distance 0.45, center distance 1.19, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",tournament,1,boost
1.13,-6.2,0.86,2.55,0,1,1,1,"Enemy is 1.13 meters ahead, angle -6.2 degrees, edge distance 0.86, center distance 2.55, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",practice,5,turn_left_45
1.31,-175.5,3.89,0.78,0,1,1,0,"Enemy is 1.31 meters ahead, angle -175.5 degrees, edge distance 3.89, center distance 0.78, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",practice,3,stay
0.22,-140.2,1.15,0.51,0,0,0,0,"Enemy is 0.22 meters ahead, angle -140.2 degrees, edge distance 1.15, center distance 0.51, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",tournament,2,turn_left_45+accelerate
0.84,-114.2,0.75,4.5,0,0,1,1,"Enemy is 0.84 meters ahead, angle -114.2 degrees, edge distance 0.75, center distance 4.5, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",tournament,5,turn_left_90+accelerate
2.11,-91.3,1.75,4.79,0,1,0,0,"Enemy is 2.11 meters ahead, angle -91.3 degrees, edge distance 1.75, center distance 4.79, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",tournament,3,turn_right_45+accelerate
0.93,16.3,2.5,0.12,0,1,0,1,"Enemy is 0.93 meters ahead, angle 16.3 degrees, edge distance 2.5, center distance 0.12, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True",simulation,1,turn_left_90
1.37,24.8,2.5,0.42,0,1,1,1,"Enemy is 1.37 meters ahead, angle 24.8 degrees, edge distance 2.5, center distance 0.42, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",practice,3,turn_right_45
1.15,-132.1,2.36,2.65,1,0,0,0,"Enemy is 1.15 meters ahead, angle -132.1 degrees, edge distance 2.36, center distance 2.65, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",practice,2,turn_right_90+accelerate
1.35,-19.8,4.31,0.65,0,1,1,0,"Enemy is 1.35 meters ahead, angle -19.8 degrees, edge distance 4.31, center distance 0.65, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",tournament,1,turn_right_15+dash+accelerate
1.96,92.7,0.37,1.36,0,1,1,0,"Enemy is 1.96 meters ahead, angle 92.7 degrees, edge distance 0.37, center distance 1.36, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",tournament,1,turn_right_90+accelerate
2.27,49.7,4.09,3.86,0,0,1,0,"Enemy is 2.27 meters ahead, angle 49.7 degrees, edge distance 4.09, center distance 3.86, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",simulation,5,turn_left_90+accelerate
2.17,-162.3,3.72,2.88,1,1,1,0,"Enemy is 2.17 meters ahead, angle -162.3 degrees, edge distance 3.72, center distance 2.88, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",simulation,4,boost
1.64,-4.5,2.21,1.33,1,1,1,1,"Enemy is 1.64 meters ahead, angle -4.5 degrees, edge distance 2.21, center distance 1.33, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: True",simulation,1,boost
1.6,148.5,4.01,2.31,0,1,1,1,"Enemy is 1.6 meters ahead, angle 148.5 degrees, edge distance 4.01, center distance 2.31, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",tournament,2,turn_left_45+accelerate
1.02,119.2,3.24,0.64,0,1,1,1,"Enemy is 1.02 meters ahead, angle 119.2 degrees, edge distance 3.24, center distance 0.64, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",tournament,3,turn_left_90+accelerate
2.13,152.1,3.62,1.63,0,1,1,0,"Enemy is 2.13 meters ahead, angle 152.1 degrees, edge distance 3.62, center distance 1.63, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",simulation,1,turn_left_15+accelerate
0.42,62.4,4.78,1.48,1,1,0,1,"Enemy is 0.42 meters ahead, angle 62.4 degrees, edge distance 4.78, center distance 1.48, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: True",tournament,1,turn_right_15+accelerate
2.45,-10.4,1.1,3.98,0,0,0,1,"Enemy is 2.45 meters ahead, angle -10.4 degrees, edge distance 1.1, center distance 3.98, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True",tournament,3,boost
0.17,-109.2,3.65,2.88,1,0,0,0,"Enemy is 0.17 meters ahead, angle -109.2 degrees, edge distance 3.65, center distance 2.88, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",practice,5,turn_left_15+accelerate
0.93,-3.2,0.53,4.16,0,1,1,1,"Enemy is 0.93 meters ahead, angle -3.2 degrees, edge distance 0.53, center distance 4.16, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",simulation,3,turn_right_45+dash+accelerate
1.91,73.6,0.36,3.79,1,1,0,0,"Enemy is 1.91 meters ahead, angle 73.6 degrees, edge distance 0.36, center distance 3.79, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False",practice,3,turn_right_90+accelerate
0.4,122.0,4.06,3.01,0,0,0,0,"Enemy is 0.4 meters ahead, angle 122.0 degrees, edge distance 4.06, center distance 3.01, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",simulation,5,turn_left_45+accelerate
1.84,-122.6,3.34,2.05,0,0,1,1,"Enemy is 1.84 meters ahead, angle -122.6 degrees, edge distance 3.34, center distance 2.05, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",practice,4,turn_right_15+accelerate
2.17,-139.1,4.5,2.96,1,1,1,0,"Enemy is 2.17 meters ahead, angle -139.1 degrees, edge distance 4.5, center distance 2.96, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",tournament,4,turn_right_15+accelerate
0.17,87.9,3.49,4.61,0,0,1,1,"Enemy is 0.17 meters ahead, angle 87.9 degrees, edge distance 3.49, center distance 4.61, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",practice,4,turn_right_15+accelerate
1.02,43.3,1.98,0.45,0,0,0,0,"Enemy is 1.02 meters ahead, angle 43.3 degrees, edge distance 1.98, center distance 0.45, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",practice,3,turn_right_90+accelerate
1.35,50.3,3.12,3.0,0,0,0,0,"Enemy is 1.35 meters ahead, angle 50.3 degrees, edge distance 3.12, center distance 3.0, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",practice,5,turn_left_15+accelerate
1.42,-84.6,0.94,2.36,0,1,0,0,"Enemy is 1.42 meters ahead, angle -84.6 degrees, edge distance 0.94, center distance 2.36, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",tournament,2,turn_right_15+accelerate
0.65,32.5,0.98,1.14,0,1,1,0,"Enemy is 0.65 meters ahead, angle 32.5 degrees, edge distance 0.98, center distance 1.14, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",practice,2,turn_right_45
0.64,-19.8,0.93,2.48,0,0,0,1,"Enemy is 0.64 meters ahead, angle -19.8 degrees, edge distance 0.93, center distance 2.48, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True",tournament,2,dash
0.2,-53.1,4.71,3.7,1,1,0,1,"Enemy is 0.2 meters ahead, angle -53.1 degrees, edge distance 4.71, center distance 3.7, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: True",practice,1,turn_left_45+accelerate
0.88,-131.7,1.71,1.28,0,0,1,0,"Enemy is 0.88 meters ahead, angle -131.7 degrees, edge distance 1.71, center distance 1.28, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",tournament,2,turn_left_90+accelerate
2.44,-27.8,0.46,3.75,1,0,0,0,"Enemy is 2.44 meters ahead, angle -27.8 degrees, edge distance 0.46, center distance 3.75, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",tournament,2,turn_left_15
2.45,175.2,3.34,4.21,1,0,0,1,"Enemy is 2.45 meters ahead, angle 175.2 degrees, edge distance 3.34, center distance 4.21, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",practice,2,turn_right_15+accelerate
2.15,-150.9,2.12,2.94,0,0,0,0,"Enemy is 2.15 meters ahead, angle -150.9 degrees, edge distance 2.12, center distance 2.94, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",practice,2,turn_left_45+accelerate
2.35,-10.4,4.62,3.34,1,0,1,1,"Enemy is 2.35 meters ahead, angle -10.4 degrees, edge distance 4.62, center distance 3.34, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: True",practice,4,boost
1.99,70.9,2.55,0.68,0,1,0,0,"Enemy is 1.99 meters ahead, angle 70.9 degrees, edge distance 2.55, center distance 0.68, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",tournament,2,turn_left_90+accelerate
0.26,-155.4,3.75,0.02,0,1,0,1,"Enemy is 0.26 meters ahead, angle -155.4 degrees, edge distance 3.75, center distance 0.02, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True",simulation,2,turn_left_15+accelerate
1.92,146.3,4.72,2.72,0,0,1,0,"Enemy is 1.92 meters ahead, angle 146.3 degrees, edge distance 4.72, center distance 2.72, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",practice,4,turn_left_45+accelerate
2.21,-42.2,2.7,1.18,1,0,0,1,"Enemy is 2.21 meters ahead, angle -42.2 degrees, edge distance 2.7, center distance 1.18, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",simulation,5,turn_right_45+accelerate
0.21,87.7,4.18,1.62,1,1,0,1,"Enemy is 0.21 meters ahead, angle 87.7 degrees, edge distance 4.18, center distance 1.62, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: True",tournament,3,turn_right_15+accelerate
2.4,-5.9,3.79,4.26,1,0,0,1,"Enemy is 2.4 meters ahead, angle -5.9 degrees, edge distance 3.79, center distance 4.26, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",simulation,2,turn_right_90
1.93,134.3,0.17,3.12,0,0,1,0,"Enemy is 1.93 meters ahead, angle 134.3 degrees, edge distance 0.17, center distance 3.12, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",simulation,3,turn_right_45+accelerate
0.17,131.1,2.08,4.02,1,1,0,0,"Enemy is 0.17 meters ahead, angle 131.1 degrees, edge distance 2.08, center distance 4.02, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False",simulation,1,turn_left_15+accelerate
1.05,-3.1,4.66,1.74,0,0,0,0,"Enemy is 1.05 meters ahead, angle -3.1 degrees, edge distance 4.66, center distance 1.74, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",tournament,4,turn_left_90+dash+accelerate
1.79,-161.1,3.57,0.01,0,1,1,1,"Enemy is 1.79 meters ahead, angle -161.1 degrees, edge distance 3.57, center distance 0.01, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",tournament,5,turn_right_90
2.13,-3.0,2.39,2.0,0,1,0,0,"Enemy is 2.13 meters ahead, angle -3.0 degrees, edge distance 2.39, center distance 2.0, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",practice,3,boost
2.4,119.6,3.33,4.87,0,0,1,0,"Enemy is 2.4 meters ahead, angle 119.6 degrees, edge distance 3.33, center distance 4.87, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",tournament,4,turn_left_15+accelerate
0.55,10.7,4.85,4.71,0,0,1,1,"Enemy is 0.55 meters ahead, angle 10.7 degrees, edge distance 4.85, center distance 4.71, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",practice,2,turn_left_45
2.05,-120.2,1.48,0.57,1,0,0,0,"Enemy is 2.05 meters ahead, angle -120.2 degrees, edge distance 1.48, center distance 0.57, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",practice,5,turn_right_15+accelerate
0.64,-105.7,4.11,1.53,0,0,1,0,"Enemy is 0.64 meters ahead, angle -105.7 degrees, edge distance 4.11, center distance 1.53, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",tournament,2,turn_left_45+accelerate
1.69,-167.9,3.26,4.6,0,0,0,1,"Enemy is 1.69 meters ahead, angle -167.9 degrees, edge distance 3.26, center distance 4.6, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True",tournament,5,accelerate
0.45,-120.5,2.26,5.0,0,1,1,1,"Enemy is 0.45 meters ahead, angle -120.5 degrees, edge distance 2.26, center distance 5.0, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",simulation,2,turn_right_90+accelerate
1.72,166.8,0.66,0.55,1,0,0,1,"Enemy is 1.72 meters ahead, angle 166.8 degrees, edge distance 0.66, center distance 0.55, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",tournament,3,turn_right_90+dash+accelerate
1.29,-20.9,0.67,2.35,0,0,1,0,"Enemy is 1.29 meters ahead, angle -20.9 degrees, edge distance 0.67, center distance 2.35, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",tournament,4,dash
1.08,-69.0,1.2,3.66,0,1,1,1,"Enemy is 1.08 meters ahead, angle -69.0 degrees, edge distance 1.2, center distance 3.66, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",tournament,1,turn_left_45+accelerate
0.74,54.9,4.71,2.5,0,1,1,0,"Enemy is 0.74 meters ahead, angle 54.9 degrees, edge distance 4.71, center distance 2.5, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",tournament,5,turn_left_90+accelerate
0.42,-179.4,4.07,0.46,0,1,1,1,"Enemy is 0.42 meters ahead, angle -179.4 degrees, edge distance 4.07, center distance 0.46, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",simulation,5,turn_right_15+accelerate
1.44,-14.2,3.91,1.68,0,0,0,0,"Enemy is 1.44 meters ahead, angle -14.2 degrees, edge distance 3.91, center distance 1.68, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",simulation,4,turn_right_15
0.76,67.5,4.81,3.12,1,0,0,0,"Enemy is 0.76 meters ahead, angle 67.5 degrees, edge distance 4.81, center distance 3.12, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",simulation,4,turn_left_15+accelerate
2.25,155.7,4.3,3.95,1,0,0,1,"Enemy is 2.25 meters ahead, angle 155.7 degrees, edge distance 4.3, center distance 3.95, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",simulation,3,turn_right_15+accelerate
0.29,-151.4,0.91,4.72,1,1,1,0,"Enemy is 0.29 meters ahead, angle -151.4 degrees, edge distance 0.91, center distance 4.72, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",practice,2,turn_right_15+accelerate
1.69,132.0,3.34,4.28,1,1,1,0,"Enemy is 1.69 meters ahead, angle 132.0 degrees, edge distance 3.34, center distance 4.28, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",tournament,1,turn_right_90+accelerate
0.12,-153.1,2.54,2.96,1,1,0,0,"Enemy is 0.12 meters ahead, angle -153.1 degrees, edge distance 2.54, center distance 2.96, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False",simulation,3,turn_right_90+accelerate
2.27,-16.7,1.68,1.97,0,0,1,0,"Enemy is 2.27 meters ahead, angle -16.7 degrees, edge distance 1.68, center distance 1.97, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",tournament,5,turn_left_15
2.5,155.0,1.56,2.88,0,1,0,1,"Enemy is 2.5 meters ahead, angle 155.0 degrees, edge distance 1.56, center distance 2.88, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True",tournament,3,turn_left_45+accelerate
1.62,37.2,2.82,3.02,1,0,0,0,"Enemy is 1.62 meters ahead, angle 37.2 degrees, edge distance 2.82, center distance 3.02, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",tournament,2,dash
1.88,-7.9,3.65,2.33,1,0,0,0,"Enemy is 1.88 meters ahead, angle -7.9 degrees, edge distance 3.65, center distance 2.33, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",simulation,4,turn_right_45+accelerate+boost
2.14,-48.6,0.7,0.87,1,0,1,0,"Enemy is 2.14 meters ahead, angle -48.6 degrees, edge distance 0.7, center distance 0.87, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",tournament,1,turn_right_15+accelerate
0.71,-159.3,3.88,4.89,1,1,1,0,"Enemy is 0.71 meters ahead, angle -159.3 degrees, edge distance 3.88, center distance 4.89, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",tournament,2,turn_right_45+accelerate
1.3,-159.6,3.42,3.21,0,1,1,0,"Enemy is 1.3 meters ahead, angle -159.6 degrees, edge distance 3.42, center distance 3.21, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",practice,4,turn_right_90+accelerate
2.36,75.4,2.65,2.15,0,1,0,1,"Enemy is 2.36 meters ahead, angle 75.4 degrees, edge distance 2.65, center distance 2.15, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True",practice,2,turn_right_90+accelerate
1.58,65.6,0.32,0.48,1,0,0,0,"Enemy is 1.58 meters ahead, angle 65.6 degrees, edge distance 0.32, center distance 0.48, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",simulation,1,turn_right_90+accelerate
0.62,-80.5,3.65,2.74,1,0,0,1,"Enemy is 0.62 meters ahead, angle -80.5 degrees, edge distance 3.65, center distance 2.74, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",tournament,1,turn_right_45+accelerate
0.2,119.7,3.57,2.66,1,1,1,0,"Enemy is 0.2 meters ahead, angle 119.7 degrees, edge distance 3.57, center distance 2.66, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",tournament,5,turn_right_45+accelerate
1.55,143.3,4.69,4.04,0,0,0,1,"Enemy is 1.55 meters ahead, angle 143.3 degrees, edge distance 4.69, center distance 4.04, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True",practice,1,turn_right_45+accelerate
0.21,-38.5,0.9,0.9,0,1,1,1,"Enemy is 0.21 meters ahead, angle -38.5 degrees, edge distance 0.9, center distance 0.9, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",practice,3,turn_left_45
2.04,142.0,2.04,2.96,1,0,1,0,"Enemy is 2.04 meters ahead, angle 142.0 degrees, edge distance 2.04, center distance 2.96, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",simulation,2,turn_right_90+accelerate
2.17,-117.8,3.69,2.76,0,0,0,1,"Enemy is 2.17 meters ahead, angle -117.8 degrees, edge distance 3.69, center distance 2.76, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True",simulation,3,turn_left_15+accelerate
1.9,78.2,0.79,4.95,0,0,1,0,"Enemy is 1.9 meters ahead, angle 78.2 degrees, edge distance 0.79, center distance 4.95, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",tournament,3,turn_left_45+accelerate
0.52,77.4,4.6,1.31,1,0,1,0,"Enemy is 0.52 meters ahead, angle 77.4 degrees, edge distance 4.6, center distance 1.31, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",tournament,1,turn_left_90+accelerate
1.38,-60.0,3.04,3.65,1,1,0,0,"Enemy is 1.38 meters ahead, angle -60.0 degrees, edge distance 3.04, center distance 3.65, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False",tournament,3,turn_right_45+accelerate
2.2,-53.1,2.06,2.76,1,1,1,0,"Enemy is 2.2 meters ahead, angle -53.1 degrees, edge distance 2.06, center distance 2.76, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",practice,4,turn_left_90+accelerate
2.1,103.0,4.75,2.04,0,1,1,1,"Enemy is 2.1 meters ahead, angle 103.0 degrees, edge distance 4.75, center distance 2.04, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: True",simulation,4,turn_left_45+accelerate
1.53,39.5,0.47,0.87,0,1,0,1,"Enemy is 1.53 meters ahead, angle 39.5 degrees, edge distance 0.47, center distance 0.87, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True",tournament,5,turn_right_45+dash+accelerate
1.35,175.3,0.56,0.23,1,0,1,1,"Enemy is 1.35 meters ahead, angle 175.3 degrees, edge distance 0.56, center distance 0.23, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: True",practice,1,turn_left_90+dash+accelerate
1.52,-124.0,4.17,0.9,0,1,0,0,"Enemy is 1.52 meters ahead, angle -124.0 degrees, edge distance 4.17, center distance 0.9, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",simulation,1,turn_left_45+accelerate
0.3,-102.3,4.05,2.57,1,1,1,1,"Enemy is 0.3 meters ahead, angle -102.3 degrees, edge distance 4.05, center distance 2.57, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: True",simulation,5,turn_right_90+accelerate
